name,country,price,sku_link,alc,style,beer_type,desc
33 ACRES OF LIFE LAGER,Canada,$12.29,/product/772335,4.8%,California Common Or Steam,Domestic Beer - BC Craft Beer,"1848, West Coast convictions of resourcefulness and persistence, the California Common was born. Easy on the alcohol and weighing in on the taste for a complete balance. Fruit like quality is created by fermenting the lager at ale temperatures. Hints at a full-bodied ale yet retains a crisp finish. 
"
33 ACRES OF NIRVANA 6 PACK,Canada,$13.49,/product/880930,7%,India Pale Ale,Domestic Beer - BC Craft Beer,"33 Acres is one of Vancouver’s most well-loved craft beer brewers. This West Coast Indian Pale Ale beautifully balances bitter-fresh pine notes with grapefruit rind and candied orange citrus. Try it with some fried chicken for a true taste of nirvana.
"
33 ACRES OF OCEAN PALE ALE,Canada,$12.29,/product/837591,5.6%,Pale Ale,Domestic Beer - BC Craft Beer,"A full flavoured beer integrated with a distinct floral hop gives a quality unique to our Pacific Northwest surroundings. This style is evolutionary from a IPA with an assertive hop, lower alcohol content, and slight pine aroma. Low in malt, this beer has a refined quality and a refreshing temperament.
"
33 ACRES OF SUNSHINE BLANCHE,Canada,$12.29,/product/90837,5%,Wheat,Domestic Beer - BC Craft Beer,"Thanks to summers' launching acclaims, this romantic French Blanchè can willingly co-star any seasons current scenes. Showcasing flare for the prismatic, 33 Acres of Sunshine synthesizes an unfiltered wheat dream. Joining the arrays, glowing hops of Aurora and Styrian Golding awaken subtle anise seeds, dazzling coriander, and candied orange ovations. 
"
33 ACRES OF SUNSHINE CAN,Canada,$21.99,/product/23859,5%,Wheat,Domestic Beer - BC Craft Beer,No info
ALEXANDER KEITH'S - INDIA PALE ALE CAN,Canada,$25.99,/product/588681,5%,India Pale Ale,Domestic Beer - National Domestic Beer,"Brewed in Halifax since 1820, India Pale Ale is light in colour and hopped in flavour. Only the lightest and finest barleys that produce a pale malt are used while the amounts of hops are increased so as to give a pronounced hop flavour.
"
ALEXANDER KEITH'S - INDIA PALE ALE CAN,Canada,$14.99,/product/687251,5%,India Pale Ale,Domestic Beer - National Domestic Beer,"Brewed in Halifax since 1820, India Pale Ale is light in colour and hopped in flavour. Only the lightest and finest barleys that produce a pale malt are used while the amounts of hops are increased so as to give a pronounced hop flavour.
"
ALHAMBRA RESERVA 1925,Spain,$13.29,/product/638759,6.4%,Pilsner,Import Beer,"This award-winning lager is brewed over 35 days. The nose is full-on caramel leading to a full-flavoured palate and a satisfying finish.
"
ASAHI SUPER DRY,Thailand,$14.79,/product/439950,5%,Pilsner,Import Beer,No info
ASAHI SUPER DRY BIG CAN,Japan,$14.79,/product/541201,5%,Pilsner,Import Beer,No info
BALDERDASH BREWING - SNEAKY WEASEL CRAFT LAGER,Canada,$29.49,/product/95003,5.6%,Lager,Domestic Beer - BC Craft Beer,No info
BALDERDASH BREWING - SNEAKY WEASEL CRAFT LAGER,Canada,$18.49,/product/20555,5.6%,Lager,Domestic Beer - BC Craft Beer,"The Weasels’ Den 15-pack is locally brewed, surprisingly tasty and guaranteed to satisfy the sneakiest and thirstiest of craft beer drinkers!
"
BALDERDASH BREWING - SNEAKY WEASEL CRAFT LAGER CAN,Canada,$7.79,/product/994145,5.6%,Lager,Domestic Beer - BC Craft Beer,"This mildy hopped craft lager delivers a bold 5.6% alc/ vol, but goes down crisp and clean. Pairs well with game day celebrations, fun in the sun and good times with friends.
"
BALDERDASH BREWING - SNEAKY WEASEL CRAFT LAGER TALL CAN,Canada,$1.99,/product/198948,5.6%,Lager,Domestic Beer - BC Craft Beer,"Now in a tall can!  This mildly hopped craft lager delivers a bold 5.6% alc/vol, but goes down crisp and clean. Pairs well with game day celebrations, fun in the sun and good times with friends.
"
BALTIKA 7,Russia,$2.49,/product/176909,5.4%,Lager,Import Beer,No info
BARDS TALE - GOLD GLUTEN FREE LAGER CAN,USA,$15.29,/product/193590,4.7%,Gluten-free,Import Beer,"100% gluten-free lager brewed with malted sorghum provides a traditional beer flavour. It has a medium clear, amber/gold colour, moderate head, aromas of roasted malt and toasted grains with sweet fruit notes. It's dry and light-bodied with balanced hops and flavours of apple, caramel and sweet grain.
"
