,name,mnf,style,alc,ratings,avg,rev_link
0,Nectarous,Four Winds Brewing Co.,Wild Ale,5.50%,123,4.45,/beer/profile/32184/124777/
1,Sartori Harvest IPA,Driftwood Brewery,IPA - American,7.00%,117,4.4,/beer/profile/18858/53309/
2,Fat Tug IPA,Driftwood Brewery,IPA - American,7.00%,718,4.27,/beer/profile/18858/62911/
3,Red Racer IPA (India Pale Ale),Central City Brewers + Distillers,IPA - American,6.50%,"1,136",4.25,/beer/profile/10321/49058/
4,Singularity,Driftwood Brewery,Stout - Russian Imperial,10.60%,180,4.28,/beer/profile/18858/65392/
5,Raised By Wolves IPA,Driftwood Brewery,IPA - New England,7.00%,79,4.32,/beer/profile/18858/186239/
6,Naughty Hildegard ESB,Driftwood Brewery,Bitter - English Extra Special / Strong Bitter (ESB),6.50%,140,4.25,/beer/profile/18858/56157/
7,Juxtapose Wild IPA,Four Winds Brewing Co.,IPA - American,6.50%,133,4.2,/beer/profile/32184/114582/
8,Red Racer Imperial IPA,Central City Brewers + Distillers,IPA - Imperial,9.00%,190,4.17,/beer/profile/10321/66444/
9,Latus,Driftwood Brewery,Sour - Flanders Red Ale,7.50%,53,4.3,/beer/profile/18858/75390/
10,Colour And Shape,Superflux,IPA - New England,6.80%,37,4.35,/beer/profile/43553/265429/
11,Old Cellar Dweller,Driftwood Brewery,Barleywine - American,11.60%,149,4.13,/beer/profile/18858/46815/
12,Thor's Hammer Barley Wine,Central City Brewers + Distillers,Barleywine - English,11.50%,155,4.12,/beer/profile/10321/52943/
13,Hopnotist,Parallel 49 Brewing Company,IPA - Imperial,8.50%,62,4.19,/beer/profile/29378/93511/
14,Flagship India Pale Ale,Steamworks Brewing Company,IPA - American,6.70%,116,4.12,/beer/profile/3449/251901/
15,Vexillum,Four Winds Brewing Co.,IPA - Imperial,9.00%,42,4.24,/beer/profile/32184/160184/
16,Twenty Pounder,Driftwood Brewery,IPA - Imperial,9.00%,100,4.11,/beer/profile/18858/72267/
17,Play Dead IPA,Yellow Dog Brewing,IPA - American,6.80%,90,4.11,/beer/profile/35919/132274/
18,Back Hand Of God Stout,Crannóg Ales,Stout - Irish Dry,5.20%,66,4.14,/beer/profile/4568/16211/
