Name,Style,Manufacturer,Location,ABV,Ratings,Description
Nectarous, Wild Ale, Four Winds Brewing Co., Delta,5.5%,4.45,"In the pursuit of sour, peach and nectarine play lead, while galaxy hops lend notes of citrus and passionfruit.Made with Pilsner, Munich, and acidulated malt, Galaxy hops, Brett Trois, Lactobacillus and Belgian yeast."
Sartori Harvest IPA, IPA - American, Driftwood Brewery, Victoria,7%,4.4,"This wet-hopped IPA can only be brewed once a year when, in the midst of the hop harvest, fresh Centennial hops are spirited from Sartori Cedar Ranch near Chilliwack to our Brew Kettle in Victoria. Sartori’s fresh hops have a delicious profile unique to the patch of land they cultivate in the Columbia Valley making this limited release singular and remarkable."
Fat Tug IPA, IPA - American, Driftwood Brewery, Victoria,7%,4.27,Fat Tug is a northwest style India Pale Ale that is characterized by an intense hop profile of grapefruit & melon and restrained malt notes. At 7 % alc/vol and 80+ IBUs this beer delivers layers of aroma and flavor that is sure to satisfy anyone with a thirst for all things hoppy!
Red Racer IPA (India Pale Ale), IPA - American, Central City Brewers + Distillers, Surrey,6.5%,4.25,"A style of ale that was fashioned to survive the long voyage from England to India during the British colonization. Hop, hops, and more hops! This ale has an intense aroma and a long lingering finish. A beer for the connoisseur, this is the Brewmasters choice.Known as Red Betty IPA in the United States."
Singularity, Stout - Russian Imperial, Driftwood Brewery, Victoria,10.6%,4.28,"2011-11.8%(silver foil), 2012-11.6%(black wax), 2013-11.8%(black wax), 2014-14.6%(black wax), 2015-12.2%(black wax), 2016-11.2%(black wax),2017-13.2%(black wax), 2018-12.0%(black wax), 2019-10.6%(black wax), 2020-10.0%(black wax)2020: Coming in this year at 10.0% ABV this is a beer that is to be shared and savored. Drink fresh, or cellar this one away and allow the bold bourbon barrel notes of vanilla and cherry to develop and mellow the malt driven chocolate and coffee flavours.Our 8th annual release of Singularity has been conditioned for 2 months in authentic Kentucky bourbon barrels. This aging process adds warming notes of bourbon and oak that push this Russian Imperial Stout beyond the event horizon. The result is a beer of infinite density and depth of character. Singularity 2018 features deep bourbon & barrel character that held in balance by the warming 12% abv !Our 7th annual release of Driftwood Brewery’s Singularity has been conditioned for 3 months in authentic Kentucky bourbon barrels. This aging process adds warming notes of bourbon and oak that push this Russian Imperial Stout beyond the event horizon. The result is a beer of infinite density and depth of character. At 13.2%, Singularity Russian Imperial Stout 2017 will be a prized addition to any beer cellar!"
Raised By Wolves IPA, IPA - New England, Driftwood Brewery, Victoria,7%,4.32,"Born of Equinox hops and raised under the influence of Saccharomyces Trois , this beast has developed a taste for mango, citrus & melon, with a nose to match, hear the call!THIS ONE WAS ABANDONED TO THE WILD."
Naughty Hildegard ESB, Bitter - English Extra Special / Strong Bitter (ESB), Driftwood Brewery, Victoria,6.5%,4.25,"Brewed to honor Hildegard Von Bingen, a 12th century Benedictine nun who allegedly was the first to record the use of hops as an ingredient in beer. While this is open to debate, we like Hildegard's style and we can't imagine a beer without hops. This extra special bitter has lots of hops- Hildegard would be proud. We are! Cheers Hildy!"
Juxtapose Wild IPA, IPA - American, Four Winds Brewing Co., Delta,6.5%,4.2,At the heart of this nectarous West Coast IPA stands the juxtaposition of ripe tropical fruit esters and mild Brett funk. Moderately bitter and gracefully balanced. Where orchards meet pastures.
Red Racer Imperial IPA, IPA - Imperial, Central City Brewers + Distillers, Surrey,9%,4.17,At the heart of this nectarous West Coast IPA stands the juxtaposition of ripe tropical fruit esters and mild Brett funk. Moderately bitter and gracefully balanced. Where orchards meet pastures.
Latus, Sour - Flanders Red Ale, Driftwood Brewery, Victoria,7.5%,4.3,Formerly known as Bird Of Prey
Colour And Shape, IPA - New England, Superflux, Vancouver,6.8%,4.35,Formerly known as Bird Of Prey
